"Result Set","Go To Row","Ctrl+G","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.gotoRow"
"Navigate","Previous Edit Location","Ctrl+Alt+←","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"SQL Editor","Execute queries in separate tabs","Ctrl+Alt+Shift+X","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.scriptNew"
"SQL Editor","Previous query","Alt+↑","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.query.prev"
"Text Editing","Line End","End","Editing Text","org.eclipse.ui.edit.text.goto.lineEnd"
"Connection","Create Object","Alt+Insert","Database navigator context","org.jkiss.dbeaver.core.object.create"
"Result Set","Copy from row below","Ctrl+Alt+D","Results viewer context","org.jkiss.dbeaver.core.resultset.row.copy.from.below"
"Database Navigator","Link with editor","Ctrl+Shift+,","In Windows","org.jkiss.dbeaver.core.navigator.linkeditor"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text","org.eclipse.ui.edit.text.upperCase"
"Result Set","Delete current row","Alt+Delete","Results viewer context","org.jkiss.dbeaver.core.resultset.row.delete"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows","org.eclipse.ui.window.switchToEditor"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows","org.eclipse.ui.window.maximizePart"
"Entity Properties","Previous Entity Properties tab","Alt+Shift+↑","In Windows","org.jkiss.dbeaver.entity.propsTab.prevPage"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows","org.eclipse.ui.window.showKeyAssist"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousSubTab"
"Connection","Rollback","Ctrl+Alt+Shift+R","In Windows","org.jkiss.dbeaver.core.rollback"
"SQL Editor","Evaluate SQL expression","Ctrl+Alt+'","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.expression"
"Text Editing","Move Lines Up","Ctrl+Shift+↑","SQL Editor Context","org.eclipse.ui.edit.text.moveLineUp"
"SQL Editor","Execute SQL script from the position","Alt+P","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.scriptFromPosition"
"SQL Editor","Import SQL script","Ctrl+Alt+Shift+O","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.open.file"
"Edit","Word Completion","Ctrl+Shift+Space","SQL Editor Context","org.eclipse.ui.edit.text.hippieCompletion"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows","org.eclipse.ui.window.splitEditor"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text","org.eclipse.ui.edit.findIncrementalReverse"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text","org.eclipse.ui.edit.text.toggleBlockSelectionMode"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows","org.eclipse.ui.edit.undo"
"Text Editing","Select Line Start","Shift+Home","Editing Text","org.eclipse.ui.edit.text.select.lineStart"
"Text Editing","Duplicate Lines","Ctrl+Alt+↑","Editing Text","org.eclipse.ui.edit.text.copyLineUp"
"Window","Next Perspective","Ctrl+F8","In Windows","org.eclipse.ui.window.nextPerspective"
"Text Editing","Move Lines Up","Alt+↑","Editing Text","org.eclipse.ui.edit.text.moveLineUp"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Text Editing","Zoom In","Ctrl+=","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Connection","New SQL script","Ctrl+]","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.create"
"Connection","Edit Object","F4","Database navigator context","org.jkiss.dbeaver.core.object.open"
"Result Set","Apply cell changes","Ctrl+Alt+Shift+Enter","Results edit context","org.jkiss.dbeaver.core.resultset.cell.save"
